
# Relic enchants:


## AOE_damage_bonus_to_spells:
```
laspistol_b_BIG_weapons_crusader_ranged_single_target_Area_large_damage_on_deadly_strike (biggodlike)
longlas_rifle (godlike)
longlas_rifle_b_BIG_weapons_assassin_Area_large_damage_on_deadly_strike (biggodlike)
melta_gun (godlike)
melta_gun_b_BIG_weapons_crusader_ranged_single_target_Area_large_damage_on_deadly_strike (biggodlike)
multi_melta (godlike)
multi_melta_b_BIG_weapons_crusader_ranged_single_target_Area_large_damage_on_deadly_strike (biggodlike)
needler_sniper_rifle (godlike)
needler_sniper_rifle_b_BIG_weapons_assassin_Area_large_damage_on_deadly_strike (biggodlike)
null_rod (godlike)
null_rod_a_Dodge_roham_weapon (ancient)
null_rod_b_BIG_weapons_assassin_Area_large_damage_on_deadly_strike (biggodlike)
plasma_cannon (godlike)
plasma_cannon_b_BIG_weapons_crusader_ranged_single_target_Area_large_damage_on_deadly_strike (biggodlike)
plasma_gun (godlike)
plasma_gun_b_BIG_weapons_crusader_ranged_single_target_Area_large_damage_on_deadly_strike (biggodlike)
plasma_pistol (godlike)
plasma_pistol_b_BIG_weapons_crusader_ranged_single_target_Area_large_damage_on_deadly_strike (biggodlike)
power_hammer (godlike)
power_hammer_b_BIG_weapons_crusader_melee_hammer_Area_large_damage_on_deadly_strike (biggodlike)
power_sword (godlike)
sniper_rifle (godlike)
sniper_rifle_b_BIG_weapons_assassin_Area_large_damage_on_deadly_strike (biggodlike)
thunder_hammer (godlike)
thunder_hammer_b_BIG_weapons_crusader_melee_hammer_Area_large_damage_on_deadly_strike (biggodlike)
```


## Bleed_on_Crit:
```
arc_rifle_1skill (godlike)
arc_rifle_2skill (godlike)
autogun (godlike)
autopistol (godlike)
bolt_pistol (godlike)
boltgun (godlike)
chainsword (godlike)
chainsword_b_BIG_weapons_crusader_melee_chainsaw_Bleed_on_Crit (biggodlike)
eviscerator (godlike)
eviscerator_b_BIG_weapons_crusader_melee_chainsaw_Bleed_on_Crit (biggodlike)
exitus_rifle (godlike)
grav_pistol (godlike)
greatsword (godlike)
grenade_launcher (godlike)
heavy_bolter (godlike)
multi_melta (godlike)
omnissian_axe_1skill (godlike)
omnissian_axe_2skill (godlike)
plasma_cannon (godlike)
plasma_gun (godlike)
plasma_pistol (godlike)
power_sword (godlike)
purity_seal_a_Bleed_purity (ancient)
radium_carbine_1skill (godlike)
radium_carbine_2skill (godlike)
shotgun (godlike)
sniper_rifle (godlike)
voltaic_axe_1skill (godlike)
voltaic_axe_2skill (godlike)
```


## Bonus_crit_in_surprise:
```
exitus_rifle_a_Stealth_ranged_weapon (ancient)
eye_implant_a_Stealth_ranged_eye (ancient)
fabricator_distortion_armour (godlike)
fabricator_distortion_armour_b_Big_armours_assassin_Bonus_crit_in_surprise (biggodlike)
hololithic_armour (godlike)
hololithic_armour_b_Big_armours_assassin_Bonus_crit_in_surprise (biggodlike)
longlas_rifle_a_Stealth_ranged_weapon (ancient)
needler_sniper_rifle_a_Stealth_ranged_weapon (ancient)
sniper_rifle_a_Stealth_ranged_weapon (ancient)
stealth_bodysuit (godlike)
stealth_bodysuit_b_Big_armours_assassin_Bonus_crit_in_surprise (biggodlike)
```


## Bonus_damage_after_Blocking:
```
storm_shield (godlike)
suppression_shield (godlike)
```


## Bonus_damage_based_on_deflect:
```
chainsword_a_Deflect_weapon (ancient)
eviscerator_a_Deflect_weapon (ancient)
fabricator_distortion_armour_a_Dodge_roham_armour (ancient)
greataxe_a_Deflect_weapon (ancient)
greatsword_a_Deflect_weapon (ancient)
hololithic_armour_a_Dodge_roham_armour (ancient)
power_axe_a_Deflect_weapon (ancient)
power_hammer_a_Deflect_weapon (ancient)
power_sword_a_Deflect_weapon (ancient)
stealth_bodysuit_a_Dodge_roham_armour (ancient)
storm_shield_a_Deflect_weapon (ancient)
storm_shield_b_BIG_shields_Bonus_damage_based_on_deflect (biggodlike)
suppression_shield_a_Deflect_weapon (ancient)
suppression_shield_b_BIG_shields_Bonus_damage_based_on_deflect (biggodlike)
thunder_hammer_a_Deflect_weapon (ancient)
```


## Bonus_damage_based_on_warp_heat:
```
aetherwalker_armour_a_High_warp_armour (ancient)
empyrean_armour_a_High_warp_armour (ancient)
force_rod (godlike)
force_rod_2 (godlike)
force_rod_2_a_Battlemage_tank_weapon (ancient)
force_rod_2_b_BIG_weapons_psyker_Bonus_damage_based_on_warp_heat (biggodlike)
force_rod_3 (godlike)
force_rod_3_a_Battlemage_tank_weapon (ancient)
force_rod_3_b_BIG_weapons_psyker_Bonus_damage_based_on_warp_heat (biggodlike)
force_rod_a_Battlemage_tank_weapon (ancient)
force_rod_b_BIG_weapons_psyker_Bonus_damage_based_on_warp_heat (biggodlike)
force_staff (godlike)
force_staff_2 (godlike)
force_staff_2_a_Battlemage_tank_weapon (ancient)
force_staff_2_b_BIG_weapons_psyker_Bonus_damage_based_on_warp_heat (biggodlike)
force_staff_3 (godlike)
force_staff_3_a_Battlemage_tank_weapon (ancient)
force_staff_3_b_BIG_weapons_psyker_Bonus_damage_based_on_warp_heat (biggodlike)
force_staff_a_Battlemage_tank_weapon (ancient)
force_staff_b_BIG_weapons_psyker_Bonus_damage_based_on_warp_heat (biggodlike)
force_sword (godlike)
force_sword_2 (godlike)
force_sword_2_b_BIG_weapons_psyker_Bonus_damage_based_on_warp_heat (biggodlike)
force_sword_3 (godlike)
force_sword_3_b_BIG_weapons_psyker_Bonus_damage_based_on_warp_heat (biggodlike)
force_sword_b_BIG_weapons_psyker_Bonus_damage_based_on_warp_heat (biggodlike)
warpbound_armour_a_High_warp_armour (ancient)
```


## Bonus_damage_in_medium_range_and_damage_penalty_over_medium_range:
```
arc_rifle_1skill (godlike)
arc_rifle_2skill (godlike)
autogun (godlike)
autopistol (godlike)
bolt_pistol (godlike)
boltgun (godlike)
exitus_rifle (godlike)
grav_gun (godlike)
grav_pistol (godlike)
grenade_launcher (godlike)
heavy_bolter (godlike)
lasgun (godlike)
laspistol (godlike)
longlas_rifle (godlike)
multi_melta (godlike)
needler_sniper_rifle (godlike)
plasma_cannon (godlike)
plasma_gun (godlike)
plasma_pistol (godlike)
radium_carbine_1skill (godlike)
radium_carbine_2skill (godlike)
sniper_rifle (godlike)
```


## Bonus_damage_in_surprise:
```
arc_blade (godlike)
arc_sword (godlike)
assassin_power_sword (godlike)
belt_deflector_field_generator_a_Stealth_melee_belt (ancient)
belt_frag_grenade_a_Stealth_melee_belt (ancient)
belt_fuse_delayed_grenade_a_Stealth_melee_belt (ancient)
belt_personal_void_shield_a_Stealth_melee_belt (ancient)
belt_stun_grenade_a_Stealth_melee_belt (ancient)
carthean_sword (godlike)
death_cult_blade (godlike)
exitus_rifle (godlike)
longlas_rifle (godlike)
needler_sniper_rifle (godlike)
null_rod (godlike)
sniper_rifle (godlike)
```


## Bonus_dot_damage_long_cooldown_skills:
```
force_rod (godlike)
force_rod_2 (godlike)
force_rod_3 (godlike)
force_staff (godlike)
force_staff_2 (godlike)
force_staff_3 (godlike)
force_sword (godlike)
force_sword_2 (godlike)
force_sword_3 (godlike)
greataxe (godlike)
greataxe_b_BIG_weapons_crusader_melee_greataxe_Bonus_dot_damage_long_cooldown_skills (biggodlike)
needler_sniper_rifle (godlike)
needler_sniper_rifle_b_BIG_weapons_assassin_needler_Bonus_dot_damage_long_cooldown_skills (biggodlike)
```


## Bonus_Movement_speed_based_on_suppression:
```
aetherwalker_armour (godlike)
assault_armor (godlike)
demolition_armor (godlike)
electroid_shielding (godlike)
empyrean_armour (godlike)
fabricator_distortion_armour (godlike)
hololithic_armour (godlike)
necromechanic_raiment (godlike)
sentinel_armor (godlike)
stealth_bodysuit (godlike)
technomartyr_vestment (godlike)
warpbound_armour (godlike)
```


## Cast_rosarius_force_field_when_stun_or_knockdown_suffered:
```
aetherwalker_armour (godlike)
assault_armor (godlike)
demolition_armor (godlike)
electroid_shielding (godlike)
empyrean_armour (godlike)
fabricator_distortion_armour (godlike)
hololithic_armour (godlike)
necromechanic_raiment (godlike)
sentinel_armor (godlike)
stealth_bodysuit (godlike)
technomartyr_vestment (godlike)
warpbound_armour (godlike)
```


## chance_knockback_and_slow_on_hit:
```
assassin_power_sword (godlike)
carthean_sword (godlike)
death_cult_blade (godlike)
exitus_rifle (godlike)
exitus_rifle_b_BIG_weapons_assassin_snipers_chance_knockback_and_slow_on_hit (biggodlike)
greataxe (godlike)
grenade_launcher_a_Heavy_tank_weapon (ancient)
heavy_bolter_a_Heavy_tank_weapon (ancient)
heavy_flamer_a_Heavy_tank_weapon (ancient)
multi_melta_a_Heavy_tank_weapon (ancient)
null_rod (godlike)
omnissian_axe_1skill (godlike)
omnissian_axe_2skill (godlike)
plasma_cannon_a_Heavy_tank_weapon (ancient)
power_axe (godlike)
sniper_rifle (godlike)
sniper_rifle_b_BIG_weapons_assassin_snipers_chance_knockback_and_slow_on_hit (biggodlike)
voltaic_axe_1skill (godlike)
voltaic_axe_2skill (godlike)
wardrug_basic_a_Slow_Shock_innoculator (ancient)
```


## Chance_to_ap_based_on_deflect:
```
assault_armor_a_Deflect_armour (ancient)
demolition_armor_a_Deflect_armour (ancient)
sentinel_armor_a_Deflect_armour (ancient)
storm_shield (godlike)
storm_shield_b_BIG_shields_Chance_to_ap_based_on_deflect (biggodlike)
suppression_shield (godlike)
suppression_shield_b_BIG_shields_Chance_to_ap_based_on_deflect (biggodlike)
```


## Chance_to_area_damage_based_on_warp_heat:
```
belt_psyker_a_High_warp_belt (ancient)
force_rod (godlike)
force_rod_2 (godlike)
force_rod_2_b_BIG_weapons_psyker_Chance_to_area_damage_based_on_warp_heat (biggodlike)
force_rod_3 (godlike)
force_rod_3_b_BIG_weapons_psyker_Chance_to_area_damage_based_on_warp_heat (biggodlike)
force_rod_b_BIG_weapons_psyker_Chance_to_area_damage_based_on_warp_heat (biggodlike)
force_staff (godlike)
force_staff_2 (godlike)
force_staff_2_b_BIG_weapons_psyker_Chance_to_area_damage_based_on_warp_heat (biggodlike)
force_staff_3 (godlike)
force_staff_3_b_BIG_weapons_psyker_Chance_to_area_damage_based_on_warp_heat (biggodlike)
force_staff_b_BIG_weapons_psyker_Chance_to_area_damage_based_on_warp_heat (biggodlike)
force_sword (godlike)
force_sword_2 (godlike)
force_sword_2_b_BIG_weapons_psyker_Chance_to_area_damage_based_on_warp_heat (biggodlike)
force_sword_3 (godlike)
force_sword_3_b_BIG_weapons_psyker_Chance_to_area_damage_based_on_warp_heat (biggodlike)
force_sword_b_BIG_weapons_psyker_Chance_to_area_damage_based_on_warp_heat (biggodlike)
```


## Chance_to_area_large_damage_in_force_weapon:
```
force_rod (godlike)
force_rod_b_BIG_weapons_psyker_single_target_Chance_to_area_large_damage_in_force_weapon (biggodlike)
force_staff (godlike)
force_staff_3 (godlike)
force_staff_3_b_BIG_weapons_psyker_single_target_Chance_to_area_large_damage_in_force_weapon (biggodlike)
force_staff_b_BIG_weapons_psyker_single_target_Chance_to_area_large_damage_in_force_weapon (biggodlike)
force_sword (godlike)
force_sword_2 (godlike)
force_sword_2_b_BIG_weapons_psyker_single_target_Chance_to_area_large_damage_in_force_weapon (biggodlike)
force_sword_3 (godlike)
force_sword_3_b_BIG_weapons_psyker_single_target_Chance_to_area_large_damage_in_force_weapon (biggodlike)
force_sword_b_BIG_weapons_psyker_single_target_Chance_to_area_large_damage_in_force_weapon (biggodlike)
```


## Chance_to_avoid_enemy_attacks_and_reflect_damage:
```
fabricator_distortion_armour (godlike)
fabricator_distortion_armour_b_Big_armours_assassin_Chance_to_avoid_enemy_attacks_and_reflect_damage (biggodlike)
hololithic_armour (godlike)
hololithic_armour_b_Big_armours_assassin_Chance_to_avoid_enemy_attacks_and_reflect_damage (biggodlike)
stealth_bodysuit (godlike)
stealth_bodysuit_b_Big_armours_assassin_Chance_to_avoid_enemy_attacks_and_reflect_damage (biggodlike)
```


## chance_to_blind:
```
assassin_power_sword (godlike)
assault_armor_a_Blind_armour (ancient)
carthean_sword (godlike)
death_cult_blade (godlike)
demolition_armor_a_Blind_armour (ancient)
fabricator_distortion_armour_a_Blind_armour (ancient)
greataxe (godlike)
hololithic_armour_a_Blind_armour (ancient)
null_rod (godlike)
power_axe (godlike)
power_hammer (godlike)
sentinel_armor_a_Blind_armour (ancient)
stealth_bodysuit_a_Blind_armour (ancient)
thunder_hammer (godlike)
```


## Chance_to_cast_Fabricator_scatter_field_on_struck:
```
aetherwalker_armour (godlike)
aetherwalker_armour_b_Big_armours_psyker_Chance_to_cast_Fabricator_scatter_field_on_struck (biggodlike)
assault_armor (godlike)
assault_armor_b_Big_armours_crusader_Chance_to_cast_Fabricator_scatter_field_on_struck (biggodlike)
demolition_armor (godlike)
demolition_armor_b_Big_armours_crusader_Chance_to_cast_Fabricator_scatter_field_on_struck (biggodlike)
electroid_shielding (godlike)
electroid_shielding_b_Big_armours_techadept_Chance_to_cast_Fabricator_scatter_field_on_struck (biggodlike)
empyrean_armour (godlike)
empyrean_armour_b_Big_armours_psyker_Chance_to_cast_Fabricator_scatter_field_on_struck (biggodlike)
fabricator_distortion_armour (godlike)
fabricator_distortion_armour_b_Big_armours_assassin_Chance_to_cast_Fabricator_scatter_field_on_struck (biggodlike)
hololithic_armour (godlike)
hololithic_armour_b_Big_armours_assassin_Chance_to_cast_Fabricator_scatter_field_on_struck (biggodlike)
necromechanic_raiment (godlike)
necromechanic_raiment_b_Big_armours_techadept_Chance_to_cast_Fabricator_scatter_field_on_struck (biggodlike)
sentinel_armor (godlike)
sentinel_armor_b_Big_armours_crusader_Chance_to_cast_Fabricator_scatter_field_on_struck (biggodlike)
stealth_bodysuit (godlike)
stealth_bodysuit_b_Big_armours_assassin_Chance_to_cast_Fabricator_scatter_field_on_struck (biggodlike)
technomartyr_vestment (godlike)
technomartyr_vestment_b_Big_armours_techadept_Chance_to_cast_Fabricator_scatter_field_on_struck (biggodlike)
warpbound_armour (godlike)
warpbound_armour_b_Big_armours_psyker_Chance_to_cast_Fabricator_scatter_field_on_struck (biggodlike)
```


## Chance_to_cast_Rosarius_force_field_on_struck:
```
aetherwalker_armour_b_Big_armours_psyker_Chance_to_cast_Rosarius_force_field_on_struck (biggodlike)
assault_armor_b_Big_armours_crusader_Chance_to_cast_Rosarius_force_field_on_struck (biggodlike)
demolition_armor_b_Big_armours_crusader_Chance_to_cast_Rosarius_force_field_on_struck (biggodlike)
electroid_shielding_b_Big_armours_techadept_Chance_to_cast_Rosarius_force_field_on_struck (biggodlike)
empyrean_armour_b_Big_armours_psyker_Chance_to_cast_Rosarius_force_field_on_struck (biggodlike)
fabricator_distortion_armour_b_Big_armours_assassin_Chance_to_cast_Rosarius_force_field_on_struck (biggodlike)
hololithic_armour_b_Big_armours_assassin_Chance_to_cast_Rosarius_force_field_on_struck (biggodlike)
necromechanic_raiment_b_Big_armours_techadept_Chance_to_cast_Rosarius_force_field_on_struck (biggodlike)
sentinel_armor_b_Big_armours_crusader_Chance_to_cast_Rosarius_force_field_on_struck (biggodlike)
stealth_bodysuit_b_Big_armours_assassin_Chance_to_cast_Rosarius_force_field_on_struck (biggodlike)
technomartyr_vestment_b_Big_armours_techadept_Chance_to_cast_Rosarius_force_field_on_struck (biggodlike)
warpbound_armour_b_Big_armours_psyker_Chance_to_cast_Rosarius_force_field_on_struck (biggodlike)
```


## Chance_to_double_damage_and_healing:
```
arc_blade (godlike)
arc_blade_b_BIG_weapons_assassin_Chance_to_double_damage_and_healing (biggodlike)
arc_rifle_1skill (godlike)
arc_rifle_2skill (godlike)
arc_sword (godlike)
arc_sword_b_BIG_weapons_assassin_Chance_to_double_damage_and_healing (biggodlike)
assassin_power_sword (godlike)
assassin_power_sword_b_BIG_weapons_assassin_Chance_to_double_damage_and_healing (biggodlike)
autogun (godlike)
autogun_b_BIG_weapons_crusader_ranged_Chance_to_double_damage_and_healing (biggodlike)
autopistol (godlike)
autopistol_b_BIG_weapons_crusader_ranged_Chance_to_double_damage_and_healing (biggodlike)
bolt_pistol (godlike)
bolt_pistol_b_BIG_weapons_crusader_ranged_Chance_to_double_damage_and_healing (biggodlike)
boltgun (godlike)
boltgun_b_BIG_weapons_crusader_ranged_Chance_to_double_damage_and_healing (biggodlike)
carthean_sword (godlike)
carthean_sword_b_BIG_weapons_assassin_Chance_to_double_damage_and_healing (biggodlike)
chainsword (godlike)
chainsword_a_Regen_GreenSupp_weapon (ancient)
chainsword_b_BIG_weapons_crusader_melee_Chance_to_double_damage_and_healing (biggodlike)
death_cult_blade (godlike)
death_cult_blade_b_BIG_weapons_assassin_Chance_to_double_damage_and_healing (biggodlike)
eviscerator (godlike)
eviscerator_a_Regen_GreenSupp_weapon (ancient)
eviscerator_b_BIG_weapons_crusader_melee_Chance_to_double_damage_and_healing (biggodlike)
exitus_rifle (godlike)
exitus_rifle_b_BIG_weapons_assassin_Chance_to_double_damage_and_healing (biggodlike)
grav_gun (godlike)
grav_gun_b_BIG_weapons_crusader_ranged_Chance_to_double_damage_and_healing (biggodlike)
grav_pistol (godlike)
grav_pistol_b_BIG_weapons_crusader_ranged_Chance_to_double_damage_and_healing (biggodlike)
greataxe (godlike)
greataxe_a_Regen_GreenSupp_weapon (ancient)
greataxe_b_BIG_weapons_crusader_melee_Chance_to_double_damage_and_healing (biggodlike)
greatsword (godlike)
greatsword_a_Regen_GreenSupp_weapon (ancient)
greatsword_b_BIG_weapons_crusader_melee_Chance_to_double_damage_and_healing (biggodlike)
grenade_launcher (godlike)
grenade_launcher_b_BIG_weapons_crusader_ranged_Chance_to_double_damage_and_healing (biggodlike)
heavy_bolter (godlike)
heavy_bolter_b_BIG_weapons_crusader_ranged_Chance_to_double_damage_and_healing (biggodlike)
heavy_flamer (godlike)
heavy_flamer_b_BIG_weapons_crusader_ranged_Chance_to_double_damage_and_healing (biggodlike)
inferno_pistol (godlike)
inferno_pistol_b_BIG_weapons_crusader_ranged_Chance_to_double_damage_and_healing (biggodlike)
lasgun (godlike)
lasgun_b_BIG_weapons_crusader_ranged_Chance_to_double_damage_and_healing (biggodlike)
laspistol (godlike)
laspistol_b_BIG_weapons_crusader_ranged_Chance_to_double_damage_and_healing (biggodlike)
longlas_rifle (godlike)
longlas_rifle_b_BIG_weapons_assassin_Chance_to_double_damage_and_healing (biggodlike)
melta_gun (godlike)
melta_gun_b_BIG_weapons_crusader_ranged_Chance_to_double_damage_and_healing (biggodlike)
multi_melta (godlike)
multi_melta_b_BIG_weapons_crusader_ranged_Chance_to_double_damage_and_healing (biggodlike)
needler_sniper_rifle (godlike)
needler_sniper_rifle_b_BIG_weapons_assassin_Chance_to_double_damage_and_healing (biggodlike)
null_rod (godlike)
null_rod_b_BIG_weapons_assassin_Chance_to_double_damage_and_healing (biggodlike)
omnissian_axe_1skill (godlike)
omnissian_axe_2skill (godlike)
plasma_cannon (godlike)
plasma_cannon_b_BIG_weapons_crusader_ranged_Chance_to_double_damage_and_healing (biggodlike)
plasma_gun (godlike)
plasma_gun_b_BIG_weapons_crusader_ranged_Chance_to_double_damage_and_healing (biggodlike)
plasma_pistol (godlike)
plasma_pistol_b_BIG_weapons_crusader_ranged_Chance_to_double_damage_and_healing (biggodlike)
power_axe (godlike)
power_axe_a_Regen_GreenSupp_weapon (ancient)
power_axe_b_BIG_weapons_crusader_melee_Chance_to_double_damage_and_healing (biggodlike)
power_hammer (godlike)
power_hammer_a_Regen_GreenSupp_weapon (ancient)
power_hammer_b_BIG_weapons_crusader_melee_Chance_to_double_damage_and_healing (biggodlike)
power_sword (godlike)
power_sword_a_Regen_GreenSupp_weapon (ancient)
power_sword_b_BIG_weapons_crusader_melee_Chance_to_double_damage_and_healing (biggodlike)
radium_carbine_1skill (godlike)
radium_carbine_2skill (godlike)
shotgun (godlike)
shotgun_b_BIG_weapons_crusader_ranged_Chance_to_double_damage_and_healing (biggodlike)
sniper_rifle (godlike)
sniper_rifle_b_BIG_weapons_assassin_Chance_to_double_damage_and_healing (biggodlike)
thunder_hammer (godlike)
thunder_hammer_a_Regen_GreenSupp_weapon (ancient)
thunder_hammer_b_BIG_weapons_crusader_melee_Chance_to_double_damage_and_healing (biggodlike)
voltaic_axe_1skill (godlike)
voltaic_axe_2skill (godlike)
```


## chance_to_enemies_explode:
```
arc_blade (godlike)
arc_blade_b_BIG_weapons_assassin_melee_arc_chance_to_enemies_explode (biggodlike)
arc_sword (godlike)
arc_sword_b_BIG_weapons_assassin_melee_arc_chance_to_enemies_explode (biggodlike)
autogun (godlike)
autopistol (godlike)
bolt_pistol (godlike)
boltgun (godlike)
exitus_rifle (godlike)
exitus_rifle_b_BIG_weapons_assassin_snipers_chance_to_enemies_explode (biggodlike)
force_rod (godlike)
force_rod_2 (godlike)
force_rod_3 (godlike)
force_staff (godlike)
force_staff_2 (godlike)
force_staff_3 (godlike)
force_sword (godlike)
force_sword_2 (godlike)
force_sword_3 (godlike)
grav_gun (godlike)
grenade_launcher (godlike)
grenade_launcher_b_BIG_weapons_crusader_ranged_grenade_launcher_chance_to_enemies_explode (biggodlike)
heavy_bolter (godlike)
heavy_flamer (godlike)
inferno_pistol (godlike)
lasgun (godlike)
laspistol (godlike)
longlas_rifle (godlike)
longlas_rifle_b_BIG_weapons_assassin_longlas_chance_to_enemies_explode (biggodlike)
melta_gun (godlike)
power_hammer (godlike)
power_hammer_b_BIG_weapons_crusader_melee_hammer_chance_to_enemies_explode (biggodlike)
shotgun (godlike)
shotgun_b_BIG_weapons_crusader_ranged_shotgun_chance_to_enemies_explode (biggodlike)
sniper_rifle (godlike)
sniper_rifle_b_BIG_weapons_assassin_snipers_chance_to_enemies_explode (biggodlike)
thunder_hammer (godlike)
thunder_hammer_b_BIG_weapons_crusader_melee_hammer_chance_to_enemies_explode (biggodlike)
```


## Chance_to_fleshbane_based_on_deflect:
```
belt_deflector_field_generator_a_Deflect_belt (ancient)
belt_digital_weapons_a_Deflect_belt (ancient)
belt_fabricator_scatter_field_a_Deflect_belt (ancient)
belt_frag_grenade_a_Deflect_belt (ancient)
belt_fuse_delayed_grenade_a_Deflect_belt (ancient)
belt_personal_teleporter_a_Deflect_belt (ancient)
belt_personal_void_shield_a_Deflect_belt (ancient)
belt_refractor_field_a_Deflect_belt (ancient)
belt_remote_mine_a_Deflect_belt (ancient)
belt_rosarius_force_field_a_Deflect_belt (ancient)
belt_stun_grenade_a_Deflect_belt (ancient)
belt_stun_mine_a_Deflect_belt (ancient)
storm_shield (godlike)
suppression_shield (godlike)
```


## Chance_to_give_vulnerability_on_hit:
```
aetherwalker_armour_a_Vulnerability_armour (ancient)
arc_blade (godlike)
arc_blade_b_BIG_weapons_assassin_Chance_to_give_vulnerability_on_hit (biggodlike)
arc_sword (godlike)
arc_sword_b_BIG_weapons_assassin_Chance_to_give_vulnerability_on_hit (biggodlike)
assassin_power_sword (godlike)
